2015-2016 ECE110 Honors Project	Electrical and Computer Engineering Building	3018	Projects from ECE110 Honor's Section	Electrical and Computer Engineering	https://wiki.cites.illinois.edu/wiki/display/ECE110HLSF15/ECE+110+Honors+Lab+Section+Home
See your own DNA	Digital Computer Lab	East Atrium	Participants will be able to extract DNA from either strawberries or their own cells and take it home.	Bioengineering	http://bmes.ec.illinois.edu/
Curing Genetic  Diseases- The Future of Genome Editing	Digital Computer Lab	East Atrium	"There are many genetic diseases currently prevalent throughout society, many of which are fatal for the carrier. However, genome editing is a revolutionary branch of research that explores how these genes can be altered to help those impacted. This project introduces the CRISPR/CAS9 system, one mechanism of genome editing, through various interactive models. "	Bioengineering	http://bmes.ec.illinois.edu/
Shrinky-Dink Microfluidics: Using Toys for Science!	Digital Computer Lab	East Atrium	"Microfluidic devices are used in many research laboratories to control and flow very small volumes of liquids. Current fabrication methods are expensive or require specialized equipment. However, a team of researchers found that these microfluidics could be designed cheaply and easily using Shrinky-Dinks! This childhood toy is a plastic sheet that can be shrunk down upon heating, and if flow channels are patterned onto these sheets then they be shrunk down to achieve the small channels needed for microfludics. Kids can come operate their own microfluidic devices and learn about basic microfluidic design and flow phenomenon!"	Bioengineering	http://bmes.ec.illinois.edu/
Biopotential Manipulation Gauntlet	Digital Computer Lab	East Atrium	"Biopotential is a voltage produced when a muscle contracts. Electromyography can use these voltages to diagnose neuromuscular disorders. These signals can be used for prosthetics, but could also be used to improve quality of life for people with neuromuscular disorders. This project demonstrates hands-free control of linked electronic devices by responding to changes in voltage from the body."	Bioengineering	http://bmes.ec.illinois.edu/
Illini Pullers	Digital Computer Lab	Hallway	"Illini Pullers is a competitive student club that designs, builds, tests, and markets a 1/4-scale tractor every year for an ASABE-sponsored challenge."	Agricultural and Biological Engineering	http://www.illinipullers.com/
The Future Is Green With Algae	Digital Computer Lab	West Atrium	We will be showing a photobioreactor of some algae growth.	Agricultural and Biological Engineering	algae.illinois.edu
Illinois Space Society: Liquid Nitrogen	Talbot Lab	103	"The extreme cold of liquid nitrogen has many uses even in the extremer cold of space. Come see some of the ""cool"" things that happen at theses temperatures and try a flash-frozen marshmallow!"	Aerospace Engineering	
Illinois Space Society Space Shuttle Tile Demonstration	Talbot Lab	103	Members of the Illinois Space Society will demonstrate how the tiles on the Space Shuttle kept the spacecraft safe as it re-entered the Earth's atmosphere.	Aerospace Engineering	
Orbital Simulator	Talbot Lab	104	Play around with gravity as you discover how planets and satellites stay in orbit.  But remember to watch out for the black hole!	Aerospace Engineering	
Illinois Space Society Technical Projects	Talbot Lab	104	"Members of Illinois Space Society will present their technical projects, including rockets and space mission plans. "	Aerospace Engineering	
Student Aircraft Builders	Talbot Lab	225A	Student Aircraft Builders (SAB) is a student-run organization devoted to building airplanes.  We are currently building a two-seat Zenith CH 750 aluminum kit aircraft at our hangar at Willard Airport.  Stop by our exhibit to check out some completed parts of the aircraft as well as learn more about building airplanes and how to rivet aluminum sheet metal!	Aerospace Engineering	http://sab.ae.illinois.edu/
Nuclear Heritage	Talbot Lab	225A	"Nuclear Heritage features both information and items that relate to the history of nuclear. Since the discovery of the nucleus, nuclear engineering has impacted our lives in many ways, from nuclear power, to bombs, to medical imaging. This exhibit is put on by the members of the UIUC chapter of Women in Nuclear."	"Nuclear, Plasma, and Radiological Engineering"	N/a
Concrete Crusher	Talbot Lab	Basement	"Crushing concrete cylinders under the 3,000,000 lb force Southwark-Emery testing facility."	Mechanical Science and Engineering	
Fluids Lab	Talbot Lab	Basement	"Opportunity for firsthand interaction with fluids laboratory exhibits, including machines that simulate water over a dam, air flow through ventilation systems, and more."	Mechanical Science and Engineering	
JetCat	Bardeen Quad	Bardeen Quad	Miniature jet engine that is used as a demonstration tool for showing how a turbine engine works and how measurements are taken on its performance.	Aerospace Engineering	
Student Space Systems	Bardeen Quad	Bardeen Quad	"Quad Copter demonstration, Reaction Control Systems, Static Motor Test, Sharpie Rockets"	Aerospace Engineering	www.studentspacesystems.org
WideSpread Wind	Bardeen Quad	Bardeen Quad	Vertical Axis Wind Turbines aimed to charge car batteries. There will be a phone charging station that is hooked up to our car batteries.	Electrical and Computer Engineering	https://publish.illinois.edu/wide-uiuc/
Human-Powered Centrifugal Catapult	Bardeen Quad	Bardeen Quad	The Punkin' Chunkin' competition that pits teams against each other to see who can throw a pumpkin the farthest. Come see the iterative design process in action.	Mechanical Science and Engineering	
Wonderful World of Drones	Bardeen Quad	Bardeen Quad	The increasingly popular flying device is not only a fun toy. It's a highly functional machine with many real world applications! Come  visit our booth and experience what drones can do!	Electrical and Computer Engineering	
Pulse Jet Popcorn	Bardeen Quad	Bardeen Quad	Using a pulse jet we designed and built to heat and pop popcorn.		
Hybrid Rocket Engine	Bardeen Quad	Bardeen Quad	See a rocket in action with the Illinois Space Society's hybrid rocket engine! Test firings will occur throughout the day and ISS members will be available to discuss rocketry and the ongoing development of our full scale engine .	Aerospace Engineering	
"Design, Build, Fly!"	Bardeen Quad	Bardeen Quad	"Design, Build, Fly (DBF) is an aerospace RSO that focuses on remote controlled (RC) aircraft."	Aerospace Engineering	http://dbf.ae.illinois.edu/
Fountain wars	Bardeen Quad	Bardeen Quad	Put water to work	Agricultural and Biological Engineering	
Rocket Races	Bardeen Quad	Bardeen Quad	Rockets race between two bridges on boneyard creek across metal guide wires	Aerospace Engineering	
Society of Fire Protection Engineers - Fire Safety Demonstration	Bardeen Quad	Bardeen Quad	Interested in learning about fire?! The Society of Fire Protection Engineers will be doing side by side burn cell demonstration to emphasize importance of sprinkler systems in dorm rooms during fires. Come watch us burn the mock dorm rooms as we teach about the different phases of a fire. Smaller but equally as awesome candle demonstrations will be done throughout the day in order to show the basics of fire behavior and safety!	Mechanical Science and Engineering	
Off-Road Illini	Bardeen Quad	Bardeen Quad	We will just have a table with some random car parts and an old car on display.	Mechanical Science and Engineering	offroadillini.mechse.illinois.edu
Illini Solar Car Team	Bardeen Quad	Bardeen Quad	"We will be exhibiting mainly our electrical system, will also be exhibiting mechanical parts. Will put up posters about details of our project"	Electrical and Computer Engineering	www.illinisolarcar.com
Haiti Clean Stove Project	Bardeen Quad	Bardeen Quad	"We are an RSO dedicated to implementing clean- burning, low cost, biomass cookstoves into Haiti. We are working with a non-profit in Port-au-Prince that manufactures briquettes, and we hope to start manufacturing of our TLUD cookstove. This stove will be able to burn cleaner and alleviate the dependency of expensive and environmentally devastating charcoal production in Haiti."		cleanstove.org
Eco Illini SAE	Bardeen Quad	Bardeen Quad	Display vehicle & engine	Mechanical Science and Engineering	www.ecoillini.com
Quadcopter	Bardeen Quad	Bardeen Quad	Showcase custom quadrotor helicopter		
Hydrophobic vs. Hydrophilic	Bardeen Quad	Bardeen Quad	"Hydrophobic vs. Hydrophilic is an exhibit set up to show the drastic effects of water repulsion (Hydrophobic) on many of our everyday objects that normally react with water (Hydrophilic). This principle is applied in many industries and is found in biology and many of our every day items. Come out to see a variety of tests and tricks that look like magic, but really do demonstrate the power of science. "	Materials Science and Engineering	"https://www.youtube.com/watch?v=iNUxWlQDQCg, https://www.youtube.com/watch?v=-1xpONIYaeQ"
"Driving, Crawling, Shooting Robots!"	Bardeen Quad	Bardeen Quad	"We will be displaying many types of projects one can do with simple robotic tools and skills. On display there will be a few Vex bots, a crawling hexapod, and a powerful t-shirt cannon for view to play with."	Mechanical Science and Engineering	
Illini Formula Electric	Bardeen Quad	Bardeen Quad	"Illini Formula Electric will be displaying their fully electric, formula style, open cockpit design for 2016. This vehicle is completely designed and manufactured by our engineering team and will compete in several international competitions."	Mechanical Science and Engineering	www.illiniformulaelectric.com
Fountain wars	Bardeen Quad	Bardeen Quad	Put water to work	Agricultural and Biological Engineering	
Magnetic Levitation	Mechanical Engineering Lab	2005	"A magnet is placed between two copper tubes, which are spun by a motor, levitating the magnet."	Mechanical Science and Engineering	
Freshman Exhibit	Mechanical Engineering Lab	2005	"Changes annually, with respect to freshmen project members. This year will likely use an arduino kit to build bongos that control common household items to demonstrate the utility of arduinos. "	Mechanical Science and Engineering	
Hydroelectric Power	Mechanical Engineering Lab	2005	Small model of a working hydroelectric dam that demonstrates this form of renewable energy.	Mechanical Science and Engineering	
Chocolate Injection Molding	Mechanical Engineering Lab	2005	Utilizes an aluminum chamber to pump melted chocolate into a 3 plate mold which is water cooled from a ice-water source.	Mechanical Science and Engineering	
The Mighty Cheese	Mechanical Engineering Lab	2005	A large flywheel embedded in a cylinder disguised as a wheel of cheese. Flywheel can be hand cranked and is very difficult to tip over.	Mechanical Science and Engineering	https://www.youtube.com/watch?v=cRJv6z_bxQg
"The Rheology Zoo: Fluids, Solids, and Things-In-Between"	Mechanical Engineering Lab	2005	"Defying the classical definitions of fluids and solids are rheologically complex materials, also known as non-Newtonian fluids. Transform your perspective on everyday materials such as playdoh, silly putty, and chewing gum by experiencing the peculiar physics of these substances and more in demonstrations and hands-on demos of key rheological phenomena: fluid-to-solid transitions such as shear-thickening and viscoelasticity, the rod-climbing effect, and self-siphoning. Learn how rheology research at Illinois is making use of these phenomena to impact the real world through bioinspired engineering, modern cuisine, product design, soft robotics, and fire suppression."	Mechanical Science and Engineering	ewoldt.mechanical.illinois.edu/
3D Chocolate Printer	Mechanical Engineering Lab	2009	"Custom 3D printer that extrudes chocolate instead of plastic, coupled with a cooling system to cool the liquid chocolate"	Mechanical Science and Engineering	
MNMS Cleanroom	Mechanical Engineering Lab	2232	"In the Micro Nano Mechanical Systems (MNMS) cleanroom exhibit, we share the wonders of the micro- and nanoscale by showcasing the cleanroom capabilities in the Department of Mechanical Science and Engineering. We will have video footage showing students from the ME487 MEMS NEMS Theory and Fabrication class doing microfabrication experiments in the cleanroom, pressure sensors and microfluidic mixers that were fabricated during the class, every day items made with MEMS based devices, and cleanroom suits that are useful in containing particles while working at the microscale. We hope to give you a peek into the world of micro- and nanotechnology research. Please come visit us on Friday as we will not be open on Saturday."		
Girls' Club	Mechanical Engineering Lab	TBA	"Join the Society of Women Engineers for some fun hands-on engineering projects! Build lava lamps, make your own lip gloss, and use a chemical reaction to create your own mirror."	Mechanical Science and Engineering	http://societyofwomenengineers.illinois.edu/
Air Hockey Table	Mechanical Engineering Lab	TBA	"Learn about how an air hockey table works, and challenge a friend to a game on our student-designed air hockey table!"	Mechanical Science and Engineering	http://societyofwomenengineers.illinois.edu/
S'mores-Making Machine	Mechanical Engineering Lab	TBA	Come make s'mores with this mechanically-operated machine!	Mechanical Science and Engineering	
Student Chapter of the American Meteorological Society at UIUC	Mechanical Engineering Lab	TBA	This exhibit includes a variety of demonstrations and information about all things weather.	Mechanical Science and Engineering	https://publish.illinois.edu/amsatuiuc/
Illini EcoConcept Hydrogen Fuel Cell Car Team	Mechanical Engineering Lab	TBA	The Illini EcoConcept Team is a student run organization on the University of Illinois Engineering campus dedicated to designing and fabricating practical as well as energy efficient vehicles for the Shell Eco-marathon Urban Concept competition.	Mechanical Science and Engineering	illiniecoconcept.com
Pinball Machine	Mechanical Engineering Lab	TBA	"Play on a working, Avengers-themed pinball machine that was built from scratch!"	Mechanical Science and Engineering	http://societyofwomenengineers.illinois.edu/
LEGO Mindstorms	Mechanical Engineering Lab	TBA	"Members of Pi Tau Sigma have programmed both autonomous as well as driver-controlled robots using Lego Mindstorms for visitors to enjoy. This year, we plan to demonstrate a robot that can automatically scan and solve Sudoku on paper and a robot arm that can be controlled by visitors using smartphone (most likely on Android platform) to achieve simple grabbing tasks such as picking up a piece of candy from a container."	Mechanical Science and Engineering	http://pitausigma.mechse.illinois.edu/
Sandcasting	Mechanical Engineering LabMechanical Engineering Lab	TBA	Members of Pi Tau Sigma will demonstrate firsthand how sandcasting parts works and explain the principles and theory behind it. Visitors can get down and dirty and pack sand themselves around a provided mold. Every visitor receives a metal sandcasted part to take home!	Mechanical Science and Engineering	http://pitausigma.mechse.illinois.edu/
Bike Powered Archimedes' Screw!	Mechanical Engineering Lab	TBA	"The Pi Tau Sigma Project Design Team have built a bike-powered archimedian screw that can pump water up to 10 feet in the air.  Visitors can hop on the bike to power the water pump, and learn about similar systems used for irrigation in third world countries."	Mechanical Science and Engineering	http://pitausigma.mechse.illinois.edu/
Illini Hyperloop	Mechanical Engineering Lab	TBA	Booth with examples of technology used in Hyperloop	Mechanical Science and Engineering	http://illinihyperloop.com/
Emot: Touch your emotions!	Mechanical Engineering Lab	TBA	"Emot is a soft robot that can catch your emotions and express them with its soft and flexible arms and legs! Come and play with Emot ! You will find that emojis are no longer the only way to share your emotions during the chat with friends on smartphone. Emot will convey each other's feelings by generating various whole-body motions, and changing colors of its body. It will not only present new ways to reflect your emotions but also new forms of interaction with others. Now touch and share vivid emotions! "	Electrical and Computer Engineering	www.mallcong.com
Nurse Call and Recognition Systems for Healthcare Institutions	Mechanical Engineering Lab	TBA	"The University of Illinois at Urbana Champaign�s (UIUC) Team Tech is partnering with Rauland-Borg Corp., a leading vendor of hospital intercom systems. The scope of the project covers the development of a nurse call system and its connectivity components with a goal of designing a prototype using innovative real-time locating technology (RTLS). This exhibit will be displaying the combination of this technology with Rauland-Borg�s already existing corridor light."	Mechanical Science and Engineering	
TAM Toys	Mechanical Engineering Lab	TBA	"TAM Toys explains simple mechanics properties through fun, interactive demonstrations that anyone can participate in. The topics covered include the conservation of angular momentum, precession, center of gravity, and more."	Mechanical Science and Engineering	
Heron of Alexandria Robot	Mechanical Engineering Lab	Second Floor Hallway	Purely mechanical programmable robot.		
Model of Vehicular Transmission	Mechanical Engineering Lab	Second Floor Hallway	A functioning model of a vehicular transmission and display of gear ratios. The project shows and explains the principles behind the transmission found in every vehicle.	Electrical and Computer Engineering	
Makers UIUC Projects	Transportation Building	101	Come see the projects that Makers UIUC has been working on this semester! We are a design organization that gives students the opportunity to work on their own ideas in a hands-on environment! Projects on display include a 3D-printed quadcopter and sleep-blocking headgear.		www.makersuiuc.com
3D Body Scanner	Transportation Building	103	"Ever wanted a miniature version of yourself? Come check out Makers UIUC's 3D Body Scanner! Using a Kinect scanner and a custom built scanning machine, your whole body will be digitized into a 3D computer model, which can be printed out as a real model. Costumes and props encouraged!"		www.makersuiuc.com
Marshmallow Launcher	Transportation Building	112	People that visit the exhibit will create their own trigger-launcher using craft supplies and use it to launch marshmallows.	Industrial and Enterprise Systems Engineering	
"Scanning, Modeling, and 3D Printing!"	Transportation Building	112	Visitors will have the chance to see how objects are scanned and digitally printed using the 3D printer in the Transportation Building.	Industrial and Enterprise Systems Engineering	
Bracketology	Transportation Building	114	Come get ready for March Madness! Create your own bracket and learn about the statistics and probability behind it.	Industrial and Enterprise Systems Engineering	
Gamma Epsilon Egg Drop	Transportation Building	203	"Students design and construct an apparatus which will protect an egg they are given that they will drop from the second floor of Transportation Building on to a tarp on the ground below. Students are given 1 egg, 1 paper dixie cup, and ten ""dollars"" to spend on other various materials to construct their apparatus. These materials will be priced differently per demand - with items such as balloons being more expensive than less desirable items such as cotton balls. Strong emphasis is placed on the students successfully protecting their egg for the least amount of ""money"" possible. We'll have a running competition throughout EOH to see who can create the cheapest successful egg drop. Winners will receive some sort of prize (candy, toy etc.) and have their names written on the black board in TB 203."	Industrial and Enterprise Systems Engineering	
"3-D Printing, Scanning, and Modeling!"	Transportation Building	206	"Ever seen a 3D print of someone�s face? Come scan your hand or head and see it on the computer and 3D printed! You can also experience first-hand the process of scanning real-world objects, processing these scans using reverse engineering software, and outputting watertight STL files for 3D printing or mesh data that can then be imported into CAD! Come see how Obama�s bust was made, check out posters of current student�s inventions, and view the scanner pipeline in action! We have giveaways printed with our own 3D printer, so make sure you come before they run out!"	Industrial and Enterprise Systems Engineering	
Supply Chain Maze	Transportation Building	206	Find your way through a maze while spending as little money as possible! Save your money to buy prizes at the end of the maze!	Industrial and Enterprise Systems Engineering	
Sigma Phi Delta's Maze Solver	Ceramics Building	214	"Create a maze, and see if our machine can solve it! Come meet the engineers of Sigma Phi Delta to talk about the engineering that went into the project and to try it out for yourself!"	Mechanical Science and Engineering	www.sigphis.org
Design For America	Ceramics Building	214	Design For America is a student organization that creates products and solutions that solve real world problems.		
Chocolate!	Ceramics Building	218	"Expanding our knowledge of chocolate and yours, specifically the tempering process and flavors. "	Chemical and Biomolecular Engineering	
"Write it, Make it!"	Ceramics Building	218	A table of of tinker toys is divided into two using a cardboard barrier. Kids split into groups of two. The first group writes down instructions on how to construct a pre-made design. The second utilizes these instructions to reconstruct the design without every seeing the original.		www.nobeillinois.org
Magnetic Levitation	Engineering Hall	106B3	We will demonstrate magnetic induction by levitation tangible items.		
Rube Goldberg Society	Engineering Hall	106B6	Join the Rube Goldberg Society as we travel around the world!		rube.ec.illinois.edu
Engineers Without Borders	Engineering Hall	106B8	"Come interact, build, (and maybe get a little messy) as you learn how engineering can positively impact communities all over the globe!"		
Humpty Dumpty got in a car; will he make it very far?	MatSE Building	100	Third and fourth grade students from Leal and Dr. Williams elementary schools will be planning and designing housing for a �car�. This housing will be attached to a cart and an egg will be placed inside. This cart will be placed on top of a ramp and crashed into a �wall�. The goal is to have the egg survive the crash.		
The Crystallization of Sodium Acetate	MatSE Building	First Floor Hallway	This project will examine the crystallization of sodium acetate and use it as a platform to teach students about the basics of crystallography and the czochralski process	Materials Science and Engineering	
Levitation: Magic or Science?	MatSE Building	First Floor Hallway	"Stand back and behold some of the magical things that superconductors can do. Watch a non-magnetic object levitate and become locked in space, and feast yours eyes on the science behind MagLev trains in a scaled down version."	Materials Science and Engineering	https://www.ted.com/talks/boaz_almog_levitates_a_superconductor?language=en
Ferrolicious	MatSE Building	First Floor Hallway	"Magnetism is a highly applicable property of materials that can be used for many things in our everyday lives. We will be exploring these interesting properties by seeing foremost the behavior of ferrofluid in the presence of a magnetic field. Ferrofluids are simply made of magnetic nanoparticles of magnetite (iron oxide), suspended in a carrier fluid that gives it the properties of both a solid and a liquid. Through our demonstrations, we will illuminate the capabilities of electromagnetic properties of materials and their applicability to our everyday lives!"	Materials Science and Engineering	
Surface Coating	MatSE Building	First Floor Hallway	several surface coating technics such as water proof and fire retardant	Materials Science and Engineering	N/A
Photolithographic Art	MatSE Building	First Floor Hallway	"Whether you love science or not, you're sure to love this exhibit! Using photolithographic processes, we are making artwork for the public to take home. "	Materials Science and Engineering	
Amazing Oobleck!	MatSE Building	First Floor Hallway	Learn more about viscosity by playing with this non-Newtonian fluid!	Materials Science and Engineering	
Shocking Ceramics!	MatSE Building	First Floor Hallway	Learn all about electroceramics and the physics of capacitors! Learn how to build a simple blinking LED circuit and how the capacitor size affects the blinking rate.	Materials Science and Engineering	
Tough Geopolymers	MatSE Building	First Floor Hallway	"Learn about this amazing innovation in structural ceramic technologies! Geopolymers are stronger, cure faster, and release less CO2 than concrete."	Materials Science and Engineering	
Break a Plate!	MatSE Building	First Floor Hallway	Learn why ceramics are so brittle and have some fun breaking a plate!	Materials Science and Engineering	
Electronic Keyboard	MatSE Building	First Floor Hallway	"A keyboard was built using 3d printed keys, piezoelectrics and photodiodes"	Materials Science and Engineering	
Peeps in Spaaace!	MatSE Building	First Floor Hallway	What would happen if a Peep (marshmellow) escaped to outer space? What happens to water in space? Why are there high-altitude cooking directions that require longer cooking times than the regular directions? How would a fire burn in a space station? Vacuums do much more than allow your trusty Hoover to clean up messes. They are used to make useful materials and films. Come and learn about the weird things that happen under vacuum with the AVS student chapter!	Materials Science and Engineering	http://uiucavs.blogspot.com/
Piezoelectric Keyboard	MatSE Building	First Floor Hallway	"A simple musical keyboard will be made out of piezoelectric sensors and an arduino unit. The Piezoelectric sensors convert a physical stress (such as a push or a tap) into an electrical signal. The electrical signal generated by the sensor will travel to the arduino, triggering the arduino to play a note through a connected speaker . This project is intended to introduce audience members to the concept of piezoelctricity, and the potential applications of piezoelectricity.  "	Materials Science and Engineering	
Viscoelastic Polymers	MatSE Building	First Floor Hallway	"We will be explaining the characteristics and the science behind the viscoelastic materials. Also, we will allow audience to create their own viscoelastic polymer (silly putty) to bring back home. On the other side, there will be a display of oobleck (which is another polymer) and allow the audience to see and play with the change in density of the polymer. "	Materials Science and Engineering	
Rubber Bouncy Balls	MatSE Building	First Floor Hallway	"We're making homemade ""rubber"" bouncy balls! The first one is a latex ball and the second one is a silicone ball. There are some material property differences between these two, so come check us out to find out what those are! You'll also be able to take one home!"	Materials Science and Engineering	
Let's Make a Steel	MatSE Building	"First Floor Hallway, Metals Lab"	"Showcasing the power of heat treatment. Two steels, one which is hardenable via heat treating, and the other which is not. Attendees will be given strips of two similar steels before heat treating, and they should be able to bend each without much effort. Then we take two different pieces of one of each of the same metal, heat treat and quench then, and give them to the kids. One should still be easy to bend, while the other should be more difficult if not impossible to bend."	Materials Science and Engineering	
Acoustic Levitator	Loomis Lab	136	What is sound? This demonstration shows that sound really is a pressure wave of air by using the phenomenon of standing waves to levitate objects between speakers.	Physics	
Physics Van Lecture Demos	Loomis Lab	141	"This annual favorite of EOH-goers presents some of the most fundamental concepts of physics in entertaining and educational ways. If you get excited about Einstein, Newton, and Bernoulli, or if you just get a kick out of things blowing up, this is a show you won�t want to miss."	Physics	van.physics.illinois.edu
The Weight Guessing Game: Fool the Structural Engineer!	Loomis Lab	144	"We all know the ""Fool the Guesser"" weight game at fairs and carnivals. Come let a structural engineer student guess your weight based on a wooden beam's deflection!"		
Black Magic	Loomis Lab	151	Come see our captivating display of musical ferrofluids and chemical clocks! Watch as we transform black liquid metals into amazing shapes with magnets and countdown to our color changing display.	Materials Science and Engineering	http://www.alphachisigmazeta.org/
American Nuclear Society	Loomis Lab	158	"Nuclear related demos, including a mouse trap reactor, as well as two plasma chambers, as well as a cloud chamber"	"Nuclear, Plasma, and Radiological Engineering"	
Electricity Room	Loomis Lab	Atrium	"Come see a stunning display of electricity and magnetism! The exhibit features a Van de Graaff generator, Oxford Bells, a ring launcher, a Jacob's Ladder, an eddy currents display, and a ferrofluid display. "	Physics	
Self-siphoning beads	Loomis Lab	Atrium	Watch a seemingly ordinary chain of metal beads propel itself out of a jar in a shockingly simple display of physics!	Physics	
The Science Behind Wine	Loomis Lab	Atrium	We will illustrate the procedure used by winerys in order to produce wine. We will explain the chemistry and chemical engineering concepts behind each step. Come to see how wine is made.	Chemical and Biomolecular Engineering	http://www.wineanorak.com/howwineismade.htm
Fragrance Synthesis	Loomis Lab	Atrium	We will show the process in which fragrances are made by having an example of fragrances made by us using lavender or rose petals. We will explain the chemistry behind each step of the synthesis.	Chemical and Biomolecular Engineering	
Spectrum: Rainbow Demonstration	Loomis Lab	Atrium	If you're lucky you'll spot a rainbow when it rains. But ever wonder if it's possible to make a rainbow? Come watch as oSTEM demonstrates the science behind the colorful phenomena by creating a rainbow before your eyes!		http://ostemillinois.wix.com/ostem-illinois
Spark Chamber	Loomis Lab	Atrium	Cosmic rays are particles from deep space that slam into our planet. Come see them visualized with electricity in a spark chamber!	Physics	
Liquid Nitrogen Table	Loomis Lab	Atrium	"The Liquid Nitrogen Table demonstrates what happens when materials are subjected to extreme cold. The exhibit explores the behavior of gaseous, liquid, and solid phases of matter, and the transitions between those phases. Come guess what will happen to household items when they reach -320 degrees Fahrenheit!"	Physics	van.physics.illinois.edu
Food for Thought	Loomis Lab	Atrium	A compilation of food-related physics demonstrations	Physics	
Theremin	Loomis Lab	Atrium	Come play this cool sci-fi musical instrument - by just waving your hands!!!	Physics	
White-Light Interferometer	Loomis Lab	Atrium	"Discover what an interferometer is and how it is used in physics! Twist nobs, heat up wire, and push on plates and see how it affects the result. "	Physics	
Engineering Better Fermentation Products: Beer and Beyond	Loomis Lab	Atrium	"Have you ever wondered how to make your own beer? Curious about the science behind fermentation and brewing? Confused how chemical engineering relates to beer itself? Come and learn about the process and science behind brewing. We'll take you through each of the steps behind the brewing process, showing you the difference between home brewing and industrial brewing, and even show you more advanced equipment and techniques available to the home brewer. "	Chemical and Biomolecular Engineering	
Polymers and Thermoplastics	Loomis Lab	Atrium	"Kids will be able to watch and play with thermoplastics, which are polymers that are pliable above a certain temperature and solid otherwise. They have numerous applications in industry, and it's an exciting way to learn about the huge variety and applications of polymers."	Chemical and Biomolecular Engineering	
Fruit Battery Fun!	Loomis Lab	Atrium	How can we convert chemical energy into electrical energy? Let's use fruit to find out!	Chemical and Biomolecular Engineering	http://www.sciencefairadventure.com/ProjectDetail.aspx?ProjectID=154
A Window Into the Quantum World: Dry Ice Illuminates the Invisible	Loomis Lab	Atrium	"Our atmosphere is full of countless trillions of subatomic particles, whizzing and flitting about, invisible to the human eye and nearly undetectable. However, cooling alcohol vapor with dry ice, we're afforded a glimpse into the quantum world as these particles leave ripples in the vapor, illuminating an amazing phenomenon otherwise invisible."	Chemical and Biomolecular Engineering	
Toxic Sugar	Loomis Lab 	Atrium	Investigate the dangers of excessive sugar intakes in biological and chemical engineering aspect	Chemical and Biomolecular Engineering	
Transfer in Chemical Engineering	Loomis Lab	Atrium	Students will need to transfer 'toxic' balls into a bucket within a time limit and with cost restraints on different materials they can use that are provided.	Chemical and Biomolecular Engineering	
Organic Chapstick	Loomis Lab	Atrium	Homemade chapstick of multiple flavors.	Chemical and Biomolecular Engineering	
Water Desalination	Loomis Lab	Atrium	Explaining the current trend in global water demand and how that need will be met through industrial desalination processes. Various methods of desalination will be discussed and a demonstration of vacuum desalination will be presented.	Chemical and Biomolecular Engineering	
Spherification	Loomis Lab	Atrium	Different types of liquids will be made into small spheres which can be eaten.	Chemical and Biomolecular Engineering	
Chem E Car	Loomis Lab	Atrium	"Presenting the work of chem e car, a team which competes model cars that run off a chemical reaction."	Chemical and Biomolecular Engineering	
Making Science Crystal Clear	Loomis Lab	Atrium	"We are making various types of crystals to teach about the structure, properties, and natural occurrences of crystals. Additionally, the application of crystals to chemical engineering will be taught as well. We are also planning on passing out borax and rock crystals to the kids."	Chemical and Biomolecular Engineering	http://l.facebook.com/l.php?u=http%3A%2F%2Fchemistry.about.com%2Fcs%2Fhowtos%2Fht%2Fboraxsnowflake.htm&h=xAQH_RJjq&s=1 http://www.facebook.com/l.php?u=http%3A%2F%2Fchemistry.about.com%2Fod%2Fcrystalsforkids%2Fa%2FCrystal-Frost-Window-Paint.htm&h=bAQEd_6qP
TBD - Continuous Distillation	Loomis Lab	Atrium	"The purpose of this exhibit is to visually demonstrate the continuous distillation of two components. Distillation is the core of chemical engineering and is used in the production of nearly every chemical product; from food and water to gasoline and plastic! <--->Continuous distillation is an ongoing separation process in which a liquid mixture of two or more miscible components is continuously fed into the process and physically separated into two or more products by preferentially boiling the more volatile (i.e., lower boiling point) components out of the mixture. - (Wikipedia) <--->The exhibit itself will consist of a small scale distillation column that will be used to separate water and food coloring. The column will be made of transparent plexiglass so that the the audience can see the separation take place. <--->The column will then be decorated so that it looks like a part of a modern chemical plant!"	Chemical and Biomolecular Engineering	N/A
Liquid Nitrogen Ice Cream	Loomis Lab	Atrium	We will be making ice cream in the form of small spheres (like Dippin' Dots) with liquid nitrogen.	Chemical and Biomolecular Engineering	
Edible Water Bottles	Loomis Lab	Atrium	"Want a meal and a drink in one? Or care to flavor your water like your lunch? No? Well, we tried it anyways�"		
Don't Talk About Soap Manufacturing	Loomis Lab	Atrium	"In the book and movie Fight Club, a large scale process is used to manufacture soap and nitroglycerin (as a byproduct). However, the actual process used is never properly explained, so we are trying to create a valid manufacturing process that these domestic terrorists could have used, with the same restrictions."		
